0,140,300,510,490,700,980,1240,1210,1060,1300,1040,1900,1430,440,700,1470,1200,2120,2340,2700,1750,1800,2130,2670,3650,1080,1500,1700,1150,3170
140,0,320,530,670,680,980,1230,1100,900,1150,940,1760,1400,340,720,1450,1150,2100,2320,2680,1780,1830,2140,2650,3670,1100,1520,1720,1200,3200
300,320,0,220,630,970,1260,1530,1120,920,1180,920,1790,1230,330,420,1210,890,1850,2070,2420,1470,1520,1840,2400,3370,790,1210,1410,910,2900
510,530,220,0,440,1190,1480,1740,1310,1080,1340,1010,1850,1290,570,430,1220,940,1870,2080,2450,1280,1340,1660,2180,3210,600,1050,1250,740,2730
490,670,630,440,0,1180,1420,1670,1690,1540,1750,1530,2290,1730,930,870,1660,1340,2310,2520,2890,1670,1700,2050,2570,3270,970,1120,1320,670,2800
700,680,970,1190,1180,0,380,650,1740,1550,1800,1600,2420,2010,995,1360,2110,1800,2760,2970,3340,2430,2480,2790,3310,4320,1750,2160,2370,1860,3850
980,980,1260,1480,1420,380,0,260,2030,1840,2090,1890,2710,2300,1290,1660,2400,2090,3050,3270,3630,2720,2770,3080,3600,4620,2040,2460,2670,2060,4140
1240,1230,1530,1740,1670,650,260,0,2300,2110,2360,2160,2980,2570,1560,1930,2670,2360,3320,3530,3900,2990,3040,3350,3870,4880,2310,2720,2930,2330,4410
1210,1100,1120,1310,1690,1740,2030,2300,0,300,180,480,780,740,830,960,1100,840,1450,1900,2020,1700,1980,1860,2380,4230,1390,2030,2270,1960,3920
1060,900,920,1080,1540,1550,1840,2110,300,0,280,180,900,590,640,680,890,550,1360,1750,1940,1400,1680,1650,2170,3950,1090,1750,1990,1680,3640
1300,1150,1180,1340,1750,1800,2090,2360,180,280,0,430,620,580,890,940,920,750,1280,1720,1850,1620,1940,1680,2190,4160,1330,1970,2210,1950,3860
1040,940,920,1010,1530,1600,1890,2160,480,180,430,0,995,440,650,590,730,380,1210,1590,1780,1280,1530,1500,2010,3760,920,1560,1800,1610,3450
1900,1760,1790,1850,2290,2420,2710,2980,780,900,620,995,0,570,1500,1430,910,920,870,1420,1470,1780,2060,1600,2110,4490,1650,2290,2530,2370,4180
1430,1400,1230,1290,1730,2010,2300,2570,740,590,580,440,570,0,1060,870,340,360,830,1200,1360,1210,1500,1150,1670,3930,1090,1730,1970,1810,3620
440,340,330,570,930,995,1290,1560,830,640,890,650,1500,1060,0,450,1180,860,1830,2050,2410,1580,1630,1860,2380,3750,910,1550,1790,1240,3230
700,720,420,430,870,1360,1660,1930,960,680,940,590,1430,870,450,0,810,520,1450,1670,2030,1150,1210,1490,2000,3320,480,1120,1360,1040,3010
1470,1450,1210,1220,1660,2110,2400,2670,1100,890,920,730,910,340,1180,810,0,350,670,880,1250,890,1200,840,1390,3830,990,1640,1870,1710,3520
1200,1150,890,940,1340,1800,2090,2360,840,550,750,380,920,360,860,520,350,0,995,1210,1570,880,1190,1120,1640,3580,740,1380,1620,1460,3270
2120,2100,1850,1870,2310,2760,3050,3320,1450,1360,1280,1210,870,830,1830,1450,670,995,0,560,580,1360,1660,1110,1370,3600,1650,2290,2530,2360,4170
2340,2320,2070,2080,2520,2970,3270,3530,1900,1750,1720,1590,1420,1200,2050,1670,880,1210,560,0,480,940,1220,580,820,3040,1640,1920,2130,2370,3940
2700,2680,2420,2450,2890,3340,3630,3900,2020,1940,1850,1780,1470,1360,2410,2030,1250,1570,580,480,0,1410,1720,1040,1240,3460,2100,2390,2600,2840,4410
1750,1780,1470,1280,1670,2430,2720,2990,1700,1400,1620,1280,1780,1210,1580,1150,890,880,1360,940,1410,0,320,380,900,2400,700,980,1200,1440,3000
1800,1830,1520,1340,1700,2480,2770,3040,1980,1680,1940,1530,2060,1500,1630,1210,1200,1190,1660,1220,1720,320,0,680,920,2090,750,880,1080,1450,2890
2130,2140,1840,1660,2050,2790,3080,3350,1860,1650,1680,1500,1600,1150,1860,1490,840,1120,1110,580,1040,380,680,0,530,2730,1070,1360,1570,1810,3380
2670,2650,2400,2180,2570,3310,3600,3870,2380,2170,2190,2010,2110,1670,2380,2000,1390,1640,1370,820,1240,900,920,530,0,2230,1590,1790,2000,2330,3810
3650,3670,3370,3210,3270,4320,4620,4880,4230,3950,4160,3760,4490,3930,3750,3320,3830,3580,3600,3040,3460,2400,2090,2730,2230,0,2840,2180,1970,2600,2750
1080,1100,790,600,970,1750,2040,2310,1390,1090,1330,920,1650,1090,910,480,990,740,1650,1640,2100,700,750,1070,1590,2840,0,650,890,740,2540
1500,1520,1210,1050,1120,2160,2460,2720,2030,1750,1970,1560,2290,1730,1550,1120,1640,1380,2290,1920,2390,980,880,1360,1790,2180,650,0,230,440,1910
1700,1720,1410,1250,1320,2370,2670,2930,2270,1990,2210,1800,2530,1970,1790,1360,1870,1620,2530,2130,2600,1200,1080,1570,2000,1970,890,230,0,640,1740
1150,1200,910,740,670,1860,2060,2330,1960,1680,1950,1610,2370,1810,1240,1040,1710,1460,2360,2370,2840,1440,1450,1810,2330,2600,740,440,640,0,2120
3170,3200,2900,2730,2800,3850,4140,4410,3920,3640,3860,3450,4180,3620,3230,3010,3520,3270,4170,3940,4410,3000,2890,3380,3810,2750,2540,1910,1740,2120,0
